sigungu_code,sigungu_name,gwangyeok,demand_score,trend_vs_2019
31260,양주시,Gyeonggi,49,6
31270,포천시,Gyeonggi,27,-14
31280,여주시,Gyeonggi,39,-3
31350,연천군,Gyeonggi,26,-10
31370,가평군,Gyeonggi,37,-5
31380,양평군,Gyeonggi,25,-15
32010,춘천시,Gangwon,30,-6
32020,원주시,Gangwon,52,9
32030,강릉시,Gangwon,30,-12
32040,동해시,Gangwon,39,2
32050,태백시,Gangwon,17,-18
32060,속초시,Gangwon,39,-3
32070,삼척시,Gangwon,16,16
32310,홍천군,Gangwon,33,-9
32320,횡성군,Gangwon,43,1
32330,영월군,Gangwon,21,-14
32340,평창군,Gangwon,30,-6
32350,정선군,Gangwon,19,-21
32360,철원군,Gangwon,30,-11
32370,화천군,Gangwon,53,14
32380,양구군,Gangwon,34,-8
32390,인제군,Gangwon,57,13
32400,고성군,Gangwon,51,13
32410,양양군,Gangwon,29,-12
33020,충주시,Chungbuk,41,4
33030,제천시,Chungbuk,30,-11
33041,청주시상당구,Chungbuk,34,-2
33042,청주시서원구,Chungbuk,37,0
33043,청주시흥덕구,Chungbuk,42,-1
33044,청주시청원구,Chungbuk,37,0
33320,보은군,Chungbuk,50,12
33330,옥천군,Chungbuk,27,-9
33340,영동군,Chungbuk,48,5
33350,진천군,Chungbuk,26,-15
33360,괴산군,Chungbuk,37,0
33370,음성군,Chungbuk,59,-20
33380,단양군,Chungbuk,38,-4
33390,증평군,Chungbuk,49,11
34011,천안시동남구,Chungnam,59,14
34012,천안시서북구,Chungnam,56,12
34020,공주시,Chungnam,43,1
34030,보령시,Chungnam,21,-19
34040,아산시,Chungnam,45,7
34050,서산시,Chungnam,22,-13
34060,논산시,Chungnam,57,13
34070,계룡시,Chungnam,34,-8
34080,당진시,Chungnam,53,14
34310,금산군,Chungnam,58,14
34330,부여군,Chungnam,58,-21
34340,서천군,Chungnam,22,-18
34350,청양군,Chungnam,45,2
34360,홍성군,Chungnam,22,-13
34370,예산군,Chungnam,45,7
34380,태안군,Chungnam,45,7
35011,전주시완산구,Jeonbuk,51,13
35012,전주시덕진구,Jeonbuk,54,15
35020,군산시,Jeonbuk,32,-4
35030,익산시,Jeonbuk,21,-19
35040,정읍시,Jeonbuk,45,2
35050,남원시,Jeonbuk,23,-12
35060,김제시,Jeonbuk,46,8
35310,완주군,Jeonbuk,46,8
35320,진안군,Jeonbuk,35,-6
35330,무주군,Jeonbuk,58,13
35340,장수군,Jeonbuk,55,16
35350,임실군,Jeonbuk,33,-4
35360,순창군,Jeonbuk,22,-18
35370,고창군,Jeonbuk,44,1
35380,부안군,Jeonbuk,45,7
36010,목포시,Jeonnam,21,-14
36020,여수시,Jeonnam,43,1
36030,순천시,Jeonnam,21,-20
36040,나주시,Jeonnam,57,18
36060,광양시,Jeonnam,57,12
36310,담양군,Jeonnam,48,5
36320,곡성군,Jeonnam,59,15
36330,구례군,Jeonnam,37,0
36350,고흥군,Jeonnam,17,17
36360,보성군,Jeonnam,27,-13
36370,화순군,Jeonnam,50,12
36380,장흥군,Jeonnam,50,6
36390,강진군,Jeonnam,27,-13
36400,해남군,Jeonnam,18,-21
36410,영암군,Jeonnam,29,-7
36420,무안군,Jeonnam,52,13
36430,함평군,Jeonnam,29,-12
36440,영광군,Jeonnam,50,7
36450,장성군,Jeonnam,16,-19
36460,완도군,Jeonnam,38,1
36470,진도군,Jeonnam,16,16
36480,신안군,Jeonnam,43,0
37011,포항시남구,Gyeongbuk,28,-13
37012,포항시북구,Gyeongbuk,25,-16
37020,경주시,Gyeongbuk,32,-4
37030,김천시,Gyeongbuk,21,-19
37040,안동시,Gyeongbuk,57,13
37050,구미시,Gyeongbuk,35,-2
37060,영주시,Gyeongbuk,46,8
37070,영천시,Gyeongbuk,35,-7
37080,상주시,Gyeongbuk,23,-13
37090,문경시,Gyeongbuk,46,8
37100,경산시,Gyeongbuk,16,-19
37310,군위군,Gyeongbuk,30,-11
37320,의성군,Gyeongbuk,41,4
37330,청송군,Gyeongbuk,18,-17
37340,영양군,Gyeongbuk,21,-19
37350,영덕군,Gyeongbuk,43,1
37360,청도군,Gyeongbuk,55,16
37370,고령군,Gyeongbuk,32,-5
37380,성주군,Gyeongbuk,29,-12
37390,칠곡군,Gyeongbuk,40,2
37400,예천군,Gyeongbuk,45,7
37410,봉화군,Gyeongbuk,23,-13
37420,울진군,Gyeongbuk,45,2
37430,울릉군,Gyeongbuk,22,-18
38030,진주시,Gyeongnam,48,10
38050,통영시,Gyeongnam,34,-7
38060,사천시,Gyeongnam,24,-17
38070,김해시,Gyeongnam,35,-2
38080,밀양시,Gyeongnam,50,11
38090,거제시,Gyeongnam,27,-9
38100,양산시,Gyeongnam,33,-8
38111,창원시의창구,Gyeongnam,17,18
38112,창원시성산구,Gyeongnam,59,15
38113,창원시마산합포구,Gyeongnam,53,15
38114,창원시마산회원구,Gyeongnam,53,14
38115,창원시진해구,Gyeongnam,60,15
38310,의령군,Gyeongnam,49,6
38320,함안군,Gyeongnam,27,-9
38330,창녕군,Gyeongnam,49,11
38340,고성군,Gyeongnam,40,-3
38350,남해군,Gyeongnam,17,18
38360,하동군,Gyeongnam,40,3
38370,산청군,Gyeongnam,18,-17
38380,함양군,Gyeongnam,36,-1
38390,거창군,Gyeongnam,25,-16
38400,합천군,Gyeongnam,18,18
39010,제주시,Jeju,59,-21
39020,서귀포시,Jeju,81,4
